갈래,업체명,권역,시도,업체명,허가현황,자료출처
수집·운반,(주)동우개발-지정,수도권,경기도,(주)동우개발-지정,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)동현자원,수도권,경기도,(주)동현자원,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)드림에코,수도권,경기도,(주)드림에코,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)매디이엔지,수도권,경기도,(주)매디이엔지,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)매일환경개발(지정),수도권,경기도,(주)매일환경개발(지정),수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)복천,수도권,경기도,(주)복천,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)삼동그린,수도권,경기도,(주)삼동그린,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)삼백건설.,수도권,경기도,(주)삼백건설.,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)서해석유,수도권,경기도,(주)서해석유,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)성림E.T,수도권,경기도,(주)성림E.T,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)성림에너지(지정),수도권,경기도,(주)성림에너지(지정),수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
수집·운반,(주)수연산업개발,수도권,경기도,(주)수연산업개발,수집·운반업 · 처리방법 수집·운반 · 한강유역환경청,14 폐기물처리업체 전국취합
